0-4,05-Sep,Oct-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.85
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.85,0.85
0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.85,0.85,0.85
0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0.85,0.85,0.85
0,0,0,0,0,0,0,0,0,0,0,0.6,0.7,0.7,0.85,0.85,0.85
0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.7,0.7,0.85,0.85,0.85
0,0,0,0,0,0,0,0,0,0.55,0.6,0.6,0.7,0.7,0.85,0.85,0.85
0,0,0,0,0,0,0,0,0.55,0.55,0.6,0.6,0.7,0.7,0.85,0.85,0.85
0,0,0,0,0,0,0,0.45,0.55,0.55,0.6,0.6,0.7,0.7,0.85,0.85,0.85
0,0,0,0,0,0,0.45,0.45,0.55,0.55,0.6,0.6,0.7,0.7,0.85,0.85,0.85
0,0,0,0,0,0.45,0.45,0.45,0.55,0.55,0.6,0.6,0.7,0.7,0.85,0.85,0.85
0,0,0,0,0.45,0.45,0.45,0.45,0.55,0.55,0.6,0.6,0.7,0.7,0.85,0.85,0.85
0,0,0,0.2,0.45,0.45,0.45,0.45,0.55,0.55,0.6,0.6,0.7,0.7,0.85,0.85,0.85
0,0,0.2,0.2,0.45,0.45,0.45,0.45,0.55,0.55,0.6,0.6,0.7,0.7,0.85,0.85,0.85
0,0.2,0.2,0.2,0.45,0.45,0.45,0.45,0.55,0.55,0.6,0.6,0.7,0.7,0.85,0.85,0.85
0,0.2,0.2,0.2,0.45,0.45,0.45,0.45,0.55,0.55,0.6,0.6,0.7,0.7,0.85,0.85,0.85
