0-4,05-Sep,Oct-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.85
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.85,0.85
0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.85,0.85,0.85
0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.85,0.85,0.85
0,0,0,0,0,0,0,0,0,0,0,0.6,0.8,0.8,0.85,0.85,0.85
0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.8,0.8,0.85,0.85,0.85
0,0,0,0,0,0,0,0,0,0.3,0.6,0.6,0.8,0.8,0.85,0.85,0.85
0,0,0,0,0,0,0,0,0.3,0.3,0.6,0.6,0.8,0.8,0.85,0.85,0.85
0,0,0,0,0,0,0,0.25,0.3,0.3,0.6,0.6,0.8,0.8,0.85,0.85,0.85
0,0,0,0,0,0,0.25,0.25,0.3,0.3,0.6,0.6,0.8,0.8,0.85,0.85,0.85
0,0,0,0,0,0.25,0.25,0.25,0.3,0.3,0.6,0.6,0.8,0.8,0.85,0.85,0.85
0,0,0,0,0.25,0.25,0.25,0.25,0.3,0.3,0.6,0.6,0.8,0.8,0.85,0.85,0.85
0,0,0,0.1,0.25,0.25,0.25,0.25,0.3,0.3,0.6,0.6,0.8,0.8,0.85,0.85,0.85
0,0,0.05,0.1,0.25,0.25,0.25,0.25,0.3,0.3,0.6,0.6,0.8,0.8,0.85,0.85,0.85
0,0.05,0.05,0.1,0.25,0.25,0.25,0.25,0.3,0.3,0.6,0.6,0.8,0.8,0.85,0.85,0.85
0,0.05,0.05,0.1,0.25,0.25,0.25,0.25,0.3,0.3,0.6,0.6,0.8,0.8,0.85,0.85,0.85
