"","income_group","vfr2","hosp_scal_vfr2","ICU_scal_vfr2","epi_scenario","deaths_med","deaths_lower","deaths_upper","hosp_med","hosp_lower","hosp_upper","icu_med","icu_lower","icu_upper","inc_med","inc_lower","inc_upper","YLL_lower","YLL_med","YLL_upper","YLL_prod_lower","YLL_prod_med","YLL_prod_upper","vsl","vsl_low","vsl_upper","vsly","vsly_low","vsly_upper","prod_loss","prod_loss_low","prod_loss_upper","hosp_cost","hosp_cost_low","hosp_cost_upper","deaths_averted_str","hosp_averted_str","cases_averted","vsl_str","vsly_str","prod_loss_str","coi"
"1","LIC",5.1,0.3,0.3,"baseline",-54,-308.525,146.05,-155.5,-450,71.05,-19,-139.05,77.075,-76892.5,-118519.075,-29711.625,-21903.815125,-824.465,20315.4545625,-14586.487875,-684.3,13786.0475,-3239946,-18511191.475,8762853.95,-1984693.37125,-52727958.9596563,48904377.9955781,-1387076.1,-29566810.922625,27944318.2825,-15884.325,-45967.5,7257.7575,"-54 (-308.5-146.1)","-155.5 (-450-71.1)","-76892.5 (-118519.1--29711.6)","-3.2 (-18.5-8.8)","-2 (-52.7-48.9)","-1.4 (-29.6-27.9)","-15884.3 (-45967.5-7257.8)"
"2","LIC",7.5,0.65,0.65,"moderate",-83.5,-288.525,181.325,-166.5,-436.525,140.1,-28.5,-149.2,109.275,-49411,-85021.025,-12858.4,-23049.5326875,-988.39,23052.785875,-15249.2755,-230.8725,16053.74575,-5009916.5,-17311211.475,10879318.675,-2379301.8275,-55485987.5619844,55493818.7975938,-467978.5575,-30910281.4385,32540942.63525,-17007.975,-44591.02875,14311.215,"-83.5 (-288.5-181.3)","-166.5 (-436.5-140.1)","-49411 (-85021--12858.4)","-5 (-17.3-10.9)","-2.4 (-55.5-55.5)","-0.5 (-30.9-32.5)","-17008 (-44591-14311.2)"
"3","LIC",10,1,1,"worst_case",-65,-352.35,179.15,-121,-412.625,214.025,-22,-178.275,155.25,-36763.5,-68536.475,4958.40000000003,-28427.045375,-1508.605,27227.282,-18595.914,-939.275,19113.72375,-3899935,-21140647.65,10748820.85,-3631589.38625,-68431004.9789688,65542874.5945,-1903910.425,-37693917.678,38743518.04125,-12360.15,-42149.64375,21862.65375,"-65 (-352.3-179.2)","-121 (-412.6-214)","-36763.5 (-68536.5-4958.4)","-3.9 (-21.1-10.7)","-3.6 (-68.4-65.5)","-1.9 (-37.7-38.7)","-12360.1 (-42149.6-21862.7)"
"4","LMIC",5.1,0.3,0.3,"baseline",-70.5,-263.525,130.35,-356.5,-717,-34.9999999999998,-37,-160.025,87.4250000000001,-147494.5,-187618.975,-109195.975,-19361.4020625,-1128.135,17624.7814375,-13001.244,-456.7175,12275.578625,-62070033,-232014261.65,114763529.1,-41088605.81085,-705175371.113777,641924678.330008,-3575641.3075,-101786739.276,96105505.055125,-116522.025,-234351.45,-11439.7499999999,"-70.5 (-263.5-130.4)","-356.5 (-717--35)","-147494.5 (-187619--109196)","-62.1 (-232-114.8)","-41.1 (-705.2-641.9)","-3.6 (-101.8-96.1)","-116522 (-234351.4--11439.7)"
"5","LMIC",7.5,0.65,0.65,"moderate",-116.5,-332.1,198.3,-418.5,-744.1,-80.7249999999999,-42.5,-225.475,149.425,-118300.5,-164803.175,-77604.55,-20491.1411875,-1364.6825,18430.551375,-13611.7595,-320.925,12842.302,-102569629,-292389474.6,174588475.8,-49704070.257075,-746322401.900181,671272197.320351,-2512521.825,-106566465.1255,100542382.358,-136786.725,-243209.085,-26384.96625,"-116.5 (-332.1-198.3)","-418.5 (-744.1--80.7)","-118300.5 (-164803.2--77604.6)","-102.6 (-292.4-174.6)","-49.7 (-746.3-671.3)","-2.5 (-106.6-100.5)","-136786.7 (-243209.1--26385)"
"6","LMIC",10,1,1,"worst_case",-103.5,-359.525,185.275,-369,-734.175,-0.274999999999608,-60,-276.025,184.7,-100113.5,-143628,-54411.725,-23307.4479375,-979.60375,21570.3951875,-15790.719625,-114.4675,15101.21975,-91124091,-316535157.65,163120927.15,-35678843.6974125,-848897109.619723,785630678.104521,-896166.0575,-123625543.944125,118227449.42275,-120607.65,-239965.09875,-89.8837499998718,"-103.5 (-359.5-185.3)","-369 (-734.2--0.3)","-100113.5 (-143628--54411.7)","-91.1 (-316.5-163.1)","-35.7 (-848.9-785.6)","-0.9 (-123.6-118.2)","-120607.6 (-239965.1--89.9)"
"7","UMIC",5.1,0.3,0.3,"baseline",-109,-390.55,203.125,-545.5,-1246.4,155.15,-15,-166.175,168.075,-109430,-153171,-76581.75,-17599.863375,-906.88625,15304.2251875,-11561.757,230.535,11121.1505,-279084254,-999966563.3,520082468.75,-99197040.8663625,-1925108431.68288,1674006912.50138,4521713.49,-226772301.798,218130245.907,-750294.3375,-1714329.72,213397.18875,"-109 (-390.6-203.1)","-545.5 (-1246.4-155.2)","-109430 (-153171--76581.7)","-279.1 (-1000-520.1)","-99.2 (-1925.1-1674)","4.5 (-226.8-218.1)","-750294.3 (-1714329.7-213397.2)"
"8","UMIC",7.5,0.65,0.65,"moderate",-216,-472.1,41.3000000000001,-780,-1422.725,-141.475,-65,-258.025,106.325,-78142.5,-109030.725,-37368.275,-20072.0086875,-2014.415,16867.0036875,-12677.2985,-101.2325,13005.37525,-553047696,-1208767672.6,105744767.8,-220340761.67415,-2195516654.97621,1844946766.01616,-1985574.255,-248652532.779,255087430.1535,-1072831.5,-1956851.533125,-194588.251875,"-216 (-472.1-41.3)","-780 (-1422.7--141.5)","-78142.5 (-109030.7--37368.3)","-553 (-1208.8-105.7)","-220.3 (-2195.5-1844.9)","-2 (-248.7-255.1)","-1072831.5 (-1956851.5--194588.3)"
"9","UMIC",10,1,1,"worst_case",-265.5,-579.15,33.2,-701.5,-1454.7,-27.875,-14,-265.2,201.075,-43897,-82626.675,-1744.4,-22410.8295625,-1758.78625,18733.549,-13918.45175,194.75,14047.531875,-679787793,-1482859134.9,85005479.2000001,-192379575.185362,-2451341583.31367,2049113244.05349,3819826.5,-272996512.6245,275528290.19625,-964860.6375,-2000830.7475,-38339.971875,"-265.5 (-579.1-33.2)","-701.5 (-1454.7--27.9)","-43897 (-82626.7--1744.4)","-679.8 (-1482.9-85)","-192.4 (-2451.3-2049.1)","3.8 (-273-275.5)","-964860.6 (-2000830.7--38340)"
"10","HIC",5.1,0.3,0.3,"baseline",-378,-800.075,111.2,-1566.5,-2645.325,-468.925,-111,-362.275,98.4500000000001,-261278.5,-310423.65,-230625.2,-27818.49325,-4454.0625,17536.2095,-15402.373625,-434.585,13764.284375,-3637124694,-7698340051.725,1069968957.6,-1883511323.3625,-11763743107.6143,7415623189.41574,-23960843.975,-849209869.814375,758893819.015625,-8241278.175,-13916922.55875,-2466990.97875,"-378 (-800.1-111.2)","-1566.5 (-2645.3--468.9)","-261278.5 (-310423.7--230625.2)","-3637.1 (-7698.3-1070)","-1883.5 (-11763.7-7415.6)","-24 (-849.2-758.9)","-8241278.2 (-13916922.6--2466991)"
